Epoch,ReLU_train,ReLU_test,LeakyReLU_train,LeakyReLU_test,ELU_train,ELU_test
1,50.55555555555556,50.0,51.111111111111114,50.0,49.44444444444444,60.648148148148145
2,50.18518518518518,50.0,49.81481481481482,50.925925925925924,52.5,61.666666666666664
3,50.0,60.27777777777778,50.74074074074074,51.574074074074076,58.888888888888886,62.129629629629626
4,53.7962962962963,51.666666666666664,51.388888888888886,53.425925925925924,53.888888888888886,69.07407407407408
5,50.46296296296296,56.2037037037037,52.592592592592595,54.907407407407405,65.0,65.92592592592592
6,58.24074074074074,55.74074074074074,56.75925925925926,54.166666666666664,63.888888888888886,67.4074074074074
7,52.77777777777778,50.833333333333336,54.72222222222222,53.51851851851852,68.42592592592592,69.44444444444444
8,52.31481481481482,67.4074074074074,56.48148148148148,61.75925925925926,70.92592592592592,70.0
9,65.0,60.27777777777778,57.31481481481482,60.46296296296296,68.05555555555556,70.37037037037037
10,58.98148148148148,58.333333333333336,59.53703703703704,65.0925925925926,71.57407407407408,68.98148148148148
11,59.53703703703704,63.888888888888886,61.388888888888886,56.48148148148148,69.25925925925925,67.5
12,65.0,62.31481481481482,61.2037037037037,66.75925925925925,68.24074074074075,69.72222222222223
13,60.74074074074074,60.27777777777778,68.05555555555556,64.25925925925925,70.64814814814815,70.64814814814815
14,61.574074074074076,66.75925925925925,65.37037037037037,65.27777777777777,69.35185185185185,69.9074074074074
15,65.0,61.574074074074076,67.96296296296296,68.88888888888889,72.12962962962963,70.74074074074075
16,66.29629629629629,59.72222222222222,66.20370370370371,65.55555555555556,71.48148148148148,68.24074074074075
17,65.64814814814815,63.148148148148145,66.94444444444444,70.46296296296296,70.37037037037037,68.14814814814815
18,68.05555555555556,69.62962962962963,70.55555555555556,64.53703703703704,70.92592592592592,71.66666666666667
19,68.61111111111111,69.44444444444444,68.42592592592592,64.07407407407408,72.4074074074074,71.48148148148148
20,68.98148148148148,66.75925925925925,71.20370370370371,69.35185185185185,74.44444444444444,71.66666666666667
