Epoch,ReLU_train,ReLU_test,LeakyReLU_train,LeakyReLU_test,ELU_train,ELU_test
1,54.166666666666664,53.611111111111114,51.666666666666664,56.666666666666664,55.0,64.07407407407408
2,55.092592592592595,58.611111111111114,59.907407407407405,60.46296296296296,67.5,68.33333333333333
3,64.16666666666667,63.888888888888886,63.51851851851852,62.5,69.72222222222223,69.81481481481481
4,67.03703703703704,68.42592592592592,65.83333333333333,66.85185185185185,71.11111111111111,70.74074074074075
5,67.96296296296296,69.16666666666667,70.0,68.33333333333333,73.05555555555556,70.55555555555556
6,69.81481481481481,71.11111111111111,71.38888888888889,69.16666666666667,73.51851851851852,70.92592592592592
7,71.85185185185185,71.20370370370371,71.75925925925925,69.25925925925925,74.53703703703704,70.37037037037037
8,72.96296296296296,72.12962962962963,72.77777777777777,70.0,74.62962962962963,70.83333333333333
9,73.05555555555556,72.22222222222223,71.66666666666667,69.72222222222223,74.35185185185185,70.46296296296296
10,72.96296296296296,70.27777777777777,72.31481481481481,70.27777777777777,74.72222222222223,70.83333333333333
11,73.61111111111111,70.46296296296296,72.03703703703704,71.29629629629629,75.64814814814815,71.38888888888889
12,74.81481481481481,70.64814814814815,73.88888888888889,71.57407407407408,75.83333333333333,71.85185185185185
13,74.35185185185185,70.27777777777777,73.79629629629629,71.75925925925925,76.66666666666667,71.94444444444444
14,74.16666666666667,70.92592592592592,75.46296296296296,71.75925925925925,76.66666666666667,72.5925925925926
15,75.0,71.85185185185185,75.64814814814815,71.48148148148148,76.11111111111111,72.68518518518519
16,74.62962962962963,71.57407407407408,76.01851851851852,71.57407407407408,76.66666666666667,72.4074074074074
17,76.11111111111111,71.85185185185185,75.92592592592592,71.66666666666667,77.5,72.4074074074074
18,76.11111111111111,72.03703703703704,77.12962962962963,72.22222222222223,77.87037037037037,72.22222222222223
19,76.01851851851852,72.5,75.83333333333333,72.31481481481481,76.94444444444444,72.4074074074074
20,75.92592592592592,72.5,77.12962962962963,72.87037037037037,77.5925925925926,72.12962962962963
21,77.68518518518519,72.5,77.4074074074074,73.42592592592592,78.24074074074075,72.5
22,77.31481481481481,72.68518518518519,77.96296296296296,73.51851851851852,77.87037037037037,72.5
23,78.61111111111111,72.96296296296296,78.14814814814815,73.61111111111111,78.14814814814815,72.5
24,78.42592592592592,72.77777777777777,78.51851851851852,73.14814814814815,79.35185185185185,73.05555555555556
25,77.87037037037037,73.05555555555556,78.42592592592592,73.51851851851852,78.42592592592592,72.5
26,78.14814814814815,73.05555555555556,79.9074074074074,73.51851851851852,79.07407407407408,72.4074074074074
27,78.61111111111111,72.87037037037037,79.35185185185185,73.33333333333333,78.70370370370371,73.05555555555556
28,78.51851851851852,73.42592592592592,78.98148148148148,73.88888888888889,80.46296296296296,73.24074074074075
29,78.61111111111111,73.33333333333333,79.25925925925925,74.25925925925925,78.79629629629629,73.14814814814815
30,79.16666666666667,73.88888888888889,80.83333333333333,74.53703703703704,79.35185185185185,73.42592592592592
31,80.37037037037037,73.61111111111111,81.38888888888889,73.98148148148148,81.48148148148148,73.33333333333333
32,79.81481481481481,74.62962962962963,81.01851851851852,74.72222222222223,78.88888888888889,73.88888888888889
33,81.20370370370371,75.0925925925926,82.03703703703704,75.27777777777777,80.55555555555556,73.98148148148148
34,82.31481481481481,75.92592592592592,80.92592592592592,75.27777777777777,78.88888888888889,73.51851851851852
35,82.5925925925926,77.12962962962963,83.33333333333333,75.27777777777777,81.57407407407408,73.70370370370371
36,83.70370370370371,76.57407407407408,80.74074074074075,76.48148148148148,80.74074074074075,73.79629629629629
37,82.03703703703704,76.20370370370371,83.70370370370371,76.48148148148148,80.18518518518519,73.70370370370371
38,83.88888888888889,76.48148148148148,82.87037037037037,77.4074074074074,81.01851851851852,74.25925925925925
39,84.25925925925925,78.05555555555556,83.79629629629629,76.94444444444444,83.24074074074075,73.88888888888889
40,84.62962962962963,78.79629629629629,85.0925925925926,76.75925925925925,80.55555555555556,74.44444444444444
41,84.53703703703704,78.79629629629629,84.81481481481481,77.77777777777777,81.94444444444444,74.07407407407408
42,84.44444444444444,78.88888888888889,84.25925925925925,78.33333333333333,83.51851851851852,74.53703703703704
43,84.72222222222223,78.70370370370371,84.25925925925925,79.16666666666667,81.29629629629629,75.37037037037037
44,86.01851851851852,79.07407407407408,86.20370370370371,79.53703703703704,83.14814814814815,75.18518518518519
45,86.57407407407408,79.53703703703704,85.37037037037037,79.35185185185185,81.38888888888889,75.92592592592592
46,85.74074074074075,80.37037037037037,86.57407407407408,79.35185185185185,83.88888888888889,75.83333333333333
47,86.75925925925925,79.81481481481481,86.29629629629629,79.9074074074074,83.51851851851852,76.01851851851852
48,85.74074074074075,80.46296296296296,85.92592592592592,79.62962962962963,82.87037037037037,76.48148148148148
49,87.68518518518519,80.64814814814815,87.12962962962963,80.27777777777777,83.61111111111111,76.94444444444444
50,88.05555555555556,79.35185185185185,86.66666666666667,79.25925925925925,82.77777777777777,76.29629629629629
51,87.96296296296296,79.81481481481481,86.85185185185185,79.44444444444444,83.24074074074075,76.85185185185185
52,87.4074074074074,81.11111111111111,88.33333333333333,79.53703703703704,84.53703703703704,76.94444444444444
53,87.96296296296296,80.55555555555556,88.42592592592592,80.74074074074075,85.37037037037037,77.31481481481481
54,89.25925925925925,81.48148148148148,87.87037037037037,79.16666666666667,85.0,77.87037037037037
55,88.05555555555556,81.57407407407408,87.4074074074074,81.48148148148148,83.61111111111111,78.14814814814815
56,89.35185185185185,81.20370370370371,87.12962962962963,79.9074074074074,85.83333333333333,78.51851851851852
57,90.27777777777777,79.9074074074074,88.88888888888889,81.20370370370371,83.88888888888889,78.14814814814815
58,88.42592592592592,79.72222222222223,88.24074074074075,80.74074074074075,85.37037037037037,78.05555555555556
59,88.79629629629629,81.29629629629629,90.27777777777777,81.57407407407408,85.27777777777777,78.24074074074075
60,89.62962962962963,80.92592592592592,88.79629629629629,80.0,85.92592592592592,78.33333333333333
61,88.79629629629629,81.01851851851852,89.16666666666667,79.53703703703704,86.29629629629629,78.51851851851852
62,89.35185185185185,81.11111111111111,89.44444444444444,79.35185185185185,86.57407407407408,78.05555555555556
63,90.37037037037037,80.64814814814815,90.46296296296296,78.70370370370371,86.66666666666667,78.51851851851852
64,89.9074074074074,81.75925925925925,90.37037037037037,81.85185185185185,85.55555555555556,79.07407407407408
65,90.64814814814815,82.31481481481481,90.37037037037037,82.12962962962963,87.12962962962963,78.24074074074075
66,88.98148148148148,82.4074074074074,89.62962962962963,82.12962962962963,85.27777777777777,78.24074074074075
67,90.0,82.22222222222223,90.37037037037037,81.66666666666667,86.85185185185185,78.79629629629629
68,90.37037037037037,82.96296296296296,91.01851851851852,81.75925925925925,85.55555555555556,79.44444444444444
69,92.03703703703704,81.75925925925925,90.83333333333333,82.03703703703704,86.66666666666667,80.0
70,90.37037037037037,82.31481481481481,89.53703703703704,81.38888888888889,85.27777777777777,79.44444444444444
71,90.37037037037037,82.5925925925926,90.18518518518519,81.57407407407408,86.48148148148148,78.70370370370371
72,90.74074074074075,81.66666666666667,89.35185185185185,80.92592592592592,86.48148148148148,79.81481481481481
73,89.62962962962963,82.5925925925926,91.94444444444444,82.5,85.92592592592592,80.37037037037037
74,90.74074074074075,83.14814814814815,91.38888888888889,83.14814814814815,87.87037037037037,80.0
75,91.29629629629629,82.5925925925926,90.55555555555556,81.94444444444444,87.5925925925926,79.72222222222223
76,90.92592592592592,82.77777777777777,92.12962962962963,80.83333333333333,86.01851851851852,79.9074074074074
77,91.01851851851852,82.5,90.92592592592592,82.68518518518519,87.31481481481481,80.27777777777777
78,92.22222222222223,83.24074074074075,91.66666666666667,80.46296296296296,87.68518518518519,80.0925925925926
79,91.48148148148148,82.87037037037037,90.92592592592592,82.87037037037037,86.57407407407408,80.46296296296296
80,93.05555555555556,82.5925925925926,91.75925925925925,83.33333333333333,87.87037037037037,79.35185185185185
81,91.38888888888889,82.4074074074074,92.87037037037037,82.68518518518519,86.11111111111111,80.37037037037037
82,92.22222222222223,82.68518518518519,92.5,82.03703703703704,87.4074074074074,80.46296296296296
83,91.66666666666667,82.68518518518519,92.87037037037037,81.29629629629629,87.87037037037037,79.53703703703704
84,92.31481481481481,84.07407407407408,93.42592592592592,82.03703703703704,88.42592592592592,80.27777777777777
85,92.5925925925926,83.79629629629629,92.31481481481481,81.38888888888889,87.77777777777777,79.44444444444444
86,91.38888888888889,83.70370370370371,92.03703703703704,82.77777777777777,86.94444444444444,78.70370370370371
87,90.64814814814815,83.88888888888889,92.31481481481481,81.48148148148148,87.5925925925926,80.27777777777777
88,93.33333333333333,84.53703703703704,92.77777777777777,81.75925925925925,89.16666666666667,79.9074074074074
89,92.12962962962963,84.35185185185185,92.4074074074074,82.96296296296296,88.33333333333333,80.27777777777777
90,92.87037037037037,84.62962962962963,93.51851851851852,81.66666666666667,88.14814814814815,80.46296296296296
91,92.87037037037037,84.16666666666667,92.5,82.03703703703704,88.98148148148148,80.0925925925926
92,93.61111111111111,84.44444444444444,92.5,82.68518518518519,87.4074074074074,79.81481481481481
93,92.5925925925926,84.16666666666667,92.68518518518519,82.31481481481481,88.14814814814815,80.18518518518519
94,92.5925925925926,83.61111111111111,92.22222222222223,83.24074074074075,88.14814814814815,80.37037037037037
95,93.51851851851852,84.9074074074074,93.05555555555556,82.4074074074074,87.96296296296296,80.0
96,93.61111111111111,82.5925925925926,92.03703703703704,81.85185185185185,89.16666666666667,80.64814814814815
97,92.68518518518519,83.79629629629629,93.51851851851852,82.31481481481481,88.98148148148148,80.64814814814815
98,94.07407407407408,83.98148148148148,93.79629629629629,82.03703703703704,88.14814814814815,80.27777777777777
99,93.79629629629629,84.72222222222223,92.77777777777777,83.70370370370371,89.07407407407408,80.27777777777777
100,92.87037037037037,84.44444444444444,93.05555555555556,82.5,89.81481481481481,80.92592592592592
101,93.70370370370371,84.81481481481481,93.51851851851852,83.79629629629629,87.03703703703704,80.18518518518519
102,92.77777777777777,84.25925925925925,94.16666666666667,83.24074074074075,88.24074074074075,80.27777777777777
103,94.44444444444444,83.42592592592592,93.70370370370371,83.79629629629629,88.88888888888889,80.18518518518519
104,92.12962962962963,84.35185185185185,93.14814814814815,83.33333333333333,87.77777777777777,80.27777777777777
105,93.88888888888889,79.53703703703704,93.70370370370371,82.87037037037037,89.53703703703704,80.37037037037037
106,93.51851851851852,84.62962962962963,93.05555555555556,83.05555555555556,88.98148148148148,80.18518518518519
107,93.42592592592592,84.9074074074074,93.70370370370371,82.96296296296296,88.51851851851852,80.18518518518519
108,93.79629629629629,83.05555555555556,92.96296296296296,83.42592592592592,89.25925925925925,80.74074074074075
109,93.42592592592592,84.44444444444444,94.25925925925925,83.70370370370371,88.88888888888889,80.37037037037037
110,93.79629629629629,84.35185185185185,93.61111111111111,83.42592592592592,89.35185185185185,81.01851851851852
111,94.81481481481481,84.44444444444444,94.25925925925925,83.79629629629629,88.88888888888889,80.74074074074075
112,93.98148148148148,82.12962962962963,94.35185185185185,82.96296296296296,89.62962962962963,80.37037037037037
113,94.16666666666667,85.64814814814815,93.70370370370371,83.88888888888889,89.81481481481481,81.29629629629629
114,95.18518518518519,85.27777777777777,93.51851851851852,84.72222222222223,89.53703703703704,81.38888888888889
115,94.9074074074074,85.37037037037037,94.81481481481481,84.07407407407408,88.79629629629629,81.01851851851852
116,94.35185185185185,84.9074074074074,93.42592592592592,84.35185185185185,89.9074074074074,81.75925925925925
117,94.44444444444444,85.46296296296296,93.24074074074075,84.81481481481481,89.16666666666667,81.11111111111111
118,93.79629629629629,85.55555555555556,94.53703703703704,84.62962962962963,89.44444444444444,79.81481481481481
119,92.77777777777777,85.0,93.33333333333333,83.88888888888889,88.70370370370371,80.83333333333333
120,94.9074074074074,84.72222222222223,94.72222222222223,83.79629629629629,90.18518518518519,81.29629629629629
121,94.35185185185185,83.88888888888889,94.44444444444444,83.79629629629629,89.72222222222223,80.92592592592592
122,94.72222222222223,84.53703703703704,94.81481481481481,82.96296296296296,90.46296296296296,80.83333333333333
123,94.81481481481481,84.25925925925925,93.51851851851852,84.44444444444444,89.72222222222223,80.55555555555556
124,94.72222222222223,85.64814814814815,94.62962962962963,84.16666666666667,90.18518518518519,81.20370370370371
125,94.35185185185185,85.46296296296296,94.53703703703704,84.07407407407408,89.72222222222223,80.27777777777777
126,95.0,85.64814814814815,95.27777777777777,84.72222222222223,88.98148148148148,80.64814814814815
127,94.81481481481481,85.27777777777777,94.62962962962963,84.53703703703704,91.48148148148148,81.38888888888889
128,94.72222222222223,85.0925925925926,95.55555555555556,84.44444444444444,89.62962962962963,81.01851851851852
129,94.44444444444444,85.64814814814815,93.98148148148148,83.98148148148148,91.38888888888889,81.01851851851852
130,94.35185185185185,85.37037037037037,95.0,83.98148148148148,89.25925925925925,80.92592592592592
131,94.81481481481481,84.35185185185185,93.70370370370371,83.70370370370371,89.07407407407408,80.83333333333333
132,94.53703703703704,83.88888888888889,95.74074074074075,84.81481481481481,90.18518518518519,81.48148148148148
133,94.16666666666667,85.18518518518519,93.79629629629629,84.72222222222223,90.46296296296296,81.38888888888889
134,95.37037037037037,85.46296296296296,93.98148148148148,84.35185185185185,90.0,81.38888888888889
135,95.0925925925926,86.20370370370371,94.9074074074074,84.72222222222223,90.37037037037037,81.66666666666667
136,94.81481481481481,86.11111111111111,94.53703703703704,84.9074074074074,90.64814814814815,81.29629629629629
137,94.9074074074074,85.46296296296296,95.46296296296296,83.61111111111111,91.48148148148148,81.48148148148148
138,95.46296296296296,84.62962962962963,95.27777777777777,85.27777777777777,90.74074074074075,81.85185185185185
139,94.35185185185185,84.9074074074074,94.81481481481481,84.16666666666667,90.18518518518519,82.68518518518519
140,95.18518518518519,85.0925925925926,95.0925925925926,83.98148148148148,91.38888888888889,81.85185185185185
141,95.46296296296296,85.83333333333333,95.46296296296296,84.44444444444444,91.20370370370371,81.29629629629629
142,95.0,86.11111111111111,95.27777777777777,83.79629629629629,90.37037037037037,82.03703703703704
143,94.53703703703704,86.48148148148148,95.83333333333333,83.79629629629629,90.83333333333333,82.87037037037037
144,94.35185185185185,86.01851851851852,94.62962962962963,84.07407407407408,90.0925925925926,81.48148148148148
145,95.83333333333333,86.29629629629629,95.0,84.35185185185185,91.29629629629629,82.68518518518519
146,95.92592592592592,85.0,95.27777777777777,84.35185185185185,90.46296296296296,82.4074074074074
147,94.9074074074074,85.37037037037037,95.83333333333333,84.72222222222223,90.83333333333333,82.03703703703704
148,94.62962962962963,85.83333333333333,94.62962962962963,84.35185185185185,90.27777777777777,82.12962962962963
149,95.18518518518519,85.0,95.27777777777777,84.62962962962963,89.62962962962963,82.5
150,95.64814814814815,83.98148148148148,95.18518518518519,84.35185185185185,91.11111111111111,82.68518518518519
151,95.64814814814815,86.20370370370371,95.92592592592592,84.9074074074074,90.0925925925926,81.94444444444444
152,95.18518518518519,85.83333333333333,95.27777777777777,84.9074074074074,90.64814814814815,82.5925925925926
153,94.9074074074074,84.35185185185185,95.92592592592592,84.53703703703704,91.57407407407408,82.68518518518519
154,96.11111111111111,85.27777777777777,94.72222222222223,84.07407407407408,90.37037037037037,82.4074074074074
155,94.72222222222223,85.27777777777777,94.81481481481481,84.16666666666667,91.20370370370371,81.75925925925925
156,94.81481481481481,85.0,95.0925925925926,84.07407407407408,91.75925925925925,81.94444444444444
157,95.64814814814815,84.81481481481481,96.20370370370371,84.72222222222223,91.11111111111111,81.75925925925925
158,95.83333333333333,85.55555555555556,94.9074074074074,84.9074074074074,90.83333333333333,82.03703703703704
159,95.0,84.25925925925925,95.0,84.35185185185185,92.12962962962963,82.5925925925926
160,95.64814814814815,85.92592592592592,96.57407407407408,84.44444444444444,91.29629629629629,82.77777777777777
161,95.64814814814815,83.51851851851852,95.55555555555556,83.61111111111111,92.12962962962963,82.12962962962963
162,95.74074074074075,85.18518518518519,94.72222222222223,84.9074074074074,92.5,82.5
163,95.83333333333333,85.55555555555556,96.29629629629629,85.37037037037037,91.20370370370371,82.96296296296296
164,95.27777777777777,85.92592592592592,96.11111111111111,85.37037037037037,91.85185185185185,82.87037037037037
165,96.29629629629629,85.18518518518519,95.27777777777777,85.0925925925926,90.64814814814815,82.4074074074074
166,96.11111111111111,85.46296296296296,95.27777777777777,84.9074074074074,91.57407407407408,82.77777777777777
167,96.29629629629629,85.37037037037037,95.27777777777777,85.0,91.38888888888889,82.68518518518519
168,95.37037037037037,85.74074074074075,96.75925925925925,84.62962962962963,92.12962962962963,82.77777777777777
169,95.92592592592592,85.46296296296296,96.01851851851852,84.81481481481481,92.03703703703704,83.24074074074075
170,94.9074074074074,83.51851851851852,95.74074074074075,84.62962962962963,92.77777777777777,83.42592592592592
171,95.27777777777777,86.01851851851852,96.48148148148148,85.55555555555556,91.85185185185185,82.77777777777777
172,95.83333333333333,86.01851851851852,96.48148148148148,84.35185185185185,91.38888888888889,82.68518518518519
173,94.9074074074074,86.48148148148148,97.68518518518519,84.62962962962963,92.4074074074074,82.4074074074074
174,96.11111111111111,85.83333333333333,96.48148148148148,85.55555555555556,91.38888888888889,82.22222222222223
175,95.64814814814815,87.12962962962963,95.46296296296296,85.18518518518519,92.5,82.96296296296296
176,94.9074074074074,86.57407407407408,95.27777777777777,85.37037037037037,91.29629629629629,82.96296296296296
177,96.29629629629629,87.03703703703704,96.01851851851852,84.72222222222223,92.4074074074074,83.14814814814815
178,96.11111111111111,87.03703703703704,96.38888888888889,85.55555555555556,91.94444444444444,83.88888888888889
179,95.55555555555556,85.37037037037037,95.92592592592592,84.81481481481481,93.05555555555556,83.98148148148148
180,96.57407407407408,86.11111111111111,96.11111111111111,85.27777777777777,91.94444444444444,83.88888888888889
181,96.01851851851852,86.20370370370371,96.20370370370371,85.27777777777777,91.01851851851852,83.24074074074075
182,96.11111111111111,86.01851851851852,96.29629629629629,85.83333333333333,92.68518518518519,83.98148148148148
183,95.46296296296296,85.92592592592592,96.38888888888889,86.29629629629629,91.85185185185185,84.07407407407408
184,94.9074074074074,86.57407407407408,96.01851851851852,84.53703703703704,91.57407407407408,83.24074074074075
185,95.18518518518519,86.01851851851852,96.29629629629629,84.9074074074074,92.31481481481481,83.51851851851852
186,96.01851851851852,85.37037037037037,96.75925925925925,85.64814814814815,91.66666666666667,83.14814814814815
187,96.57407407407408,85.46296296296296,96.01851851851852,85.74074074074075,91.01851851851852,83.61111111111111
188,96.01851851851852,84.9074074074074,96.75925925925925,84.9074074074074,91.85185185185185,82.87037037037037
189,95.37037037037037,85.92592592592592,96.48148148148148,85.64814814814815,91.11111111111111,82.5925925925926
190,96.66666666666667,86.38888888888889,96.66666666666667,86.20370370370371,91.48148148148148,83.14814814814815
191,94.72222222222223,86.66666666666667,96.48148148148148,85.92592592592592,92.4074074074074,82.96296296296296
192,95.64814814814815,86.94444444444444,97.31481481481481,85.64814814814815,91.48148148148148,83.51851851851852
193,95.55555555555556,86.94444444444444,96.66666666666667,85.27777777777777,92.03703703703704,83.42592592592592
194,95.92592592592592,85.0,97.5,84.9074074074074,93.88888888888889,82.5925925925926
195,95.74074074074075,85.92592592592592,97.03703703703704,84.72222222222223,91.11111111111111,83.51851851851852
196,96.20370370370371,86.01851851851852,96.85185185185185,84.9074074074074,93.42592592592592,84.35185185185185
197,97.03703703703704,85.83333333333333,96.29629629629629,84.53703703703704,92.5,83.51851851851852
198,96.85185185185185,85.46296296296296,96.66666666666667,84.53703703703704,90.64814814814815,83.79629629629629
199,96.66666666666667,87.03703703703704,96.11111111111111,84.72222222222223,92.77777777777777,82.96296296296296
200,96.20370370370371,86.01851851851852,96.38888888888889,85.55555555555556,91.57407407407408,83.14814814814815
201,96.57407407407408,86.38888888888889,97.03703703703704,85.46296296296296,92.96296296296296,84.07407407407408
202,96.57407407407408,86.38888888888889,96.48148148148148,85.46296296296296,92.5925925925926,83.79629629629629
203,97.22222222222223,86.48148148148148,96.94444444444444,85.46296296296296,92.22222222222223,83.05555555555556
204,96.57407407407408,86.38888888888889,97.03703703703704,86.48148148148148,91.85185185185185,83.14814814814815
205,96.11111111111111,86.29629629629629,96.66666666666667,85.74074074074075,92.87037037037037,84.35185185185185
206,95.83333333333333,85.64814814814815,96.38888888888889,85.18518518518519,91.85185185185185,84.44444444444444
207,95.55555555555556,86.57407407407408,96.85185185185185,86.01851851851852,93.14814814814815,83.98148148148148
208,96.66666666666667,86.48148148148148,96.11111111111111,86.01851851851852,92.87037037037037,83.88888888888889
209,97.22222222222223,85.74074074074075,97.03703703703704,85.64814814814815,92.77777777777777,84.07407407407408
210,96.57407407407408,84.81481481481481,96.48148148148148,85.46296296296296,94.25925925925925,83.79629629629629
211,96.20370370370371,85.64814814814815,96.20370370370371,85.55555555555556,91.57407407407408,82.96296296296296
