Epoch,Train(with pretraining),Test(with pretraining),Train(w/o pretraining),Test(w/o pretraining)
1,0.7344745364603723,0.7342348754448398,0.7318409907825901,0.7335231316725979
2,0.7391366240791488,0.7422064056939501,0.7347592441012136,0.7335231316725979
3,0.7416989928467206,0.738220640569395,0.7345457133705826,0.7333807829181495
4,0.743976653973451,0.7483274021352313,0.7346880671910033,0.7296797153024911
5,0.7459340190042351,0.7488967971530249,0.7347592441012136,0.7339501779359431
6,0.7691732801879071,0.7874733096085409,0.7351151286522652,0.732526690391459
7,0.7953307946902025,0.7894661921708185,0.7349015979216342,0.7326690391459074
8,0.8029467240827076,0.8032740213523132,0.7349371863767394,0.7328113879003558
9,0.8132673760632052,0.811814946619217,0.7346168902807929,0.733238434163701
10,0.8187835866045056,0.8170818505338078,0.7345813018256878,0.7312455516014235
11,0.8233033204028614,0.8105338078291815,0.73507954019716,0.7330960854092526
12,0.8296380654115806,0.8120996441281139,0.7347948325563188,0.7335231316725979
13,0.8320936688138368,0.8155160142348754,0.7349727748318446,0.7320996441281139
14,0.8387131214633974,0.8152313167259786,0.7351507171073705,0.7330960854092526
15,0.8431616783515428,0.8197864768683274,0.7346524787358981,0.7335231316725979
16,0.8465425815865334,0.8004270462633452,0.7347948325563188,0.732526690391459
17,0.8538738033381972,0.8069750889679715,0.7349371863767394,0.7289679715302491
18,0.8570055873874516,0.8105338078291815,0.7346880671910033,0.7345195729537366
19,0.8613117904551764,0.8012811387900356,0.7349371863767394,0.7333807829181495
20,0.8705292003274139,0.7816370106761565,0.7358980746645789,0.7315302491103203
